r_AU,F_exact,F_no_nn_softened,F_simon_corrected,c_pred,rel_err_no_nn_softened,rel_err_simon_corrected
2.149463632182595446e-05,2.164411321968524158e+07,7.900065353455882359e+03,3.144293757207555464e+05,3.980085754394531250e+01,9.996350016619636181e-01,9.854727531440381494e-01
2.168024309670189641e-05,2.127510464356967062e+07,7.967223950152250836e+03,3.169036997707997216e+05,3.977592468261718750e+01,9.996255142297238994e-01,9.851044822067851481e-01
2.186745259117560256e-05,2.091238726210203022e+07,8.034935042986435292e+03,3.193960548122926266e+05,3.975091934204101562e+01,9.996157810706983726e-01,9.847269443316444271e-01
2.205627864477485652e-05,2.055585381725990027e+07,8.103202696882058262e+03,3.219032386533631361e+05,3.972543334960937500e+01,9.996057958589840142e-01,9.843400696699315944e-01
2.224673521653200680e-05,2.020539887965368107e+07,8.172030993878506706e+03,3.244243683154370519e+05,3.969935607910156250e+01,9.995955521075058359e-01,9.839436791004347871e-01
2.243883638601616801e-05,1.986091881734985858e+07,8.241424032828796044e+03,3.269615468429423054e+05,3.967294311523437500e+01,9.995850431639834444e-01,9.835374410494381880e-01
2.263259635437387193e-05,1.952231176522671804e+07,8.311385929083724477e+03,3.295173591936974553e+05,3.964649963378906250e+01,9.995742622068002348e-01,9.831209867378187806e-01
2.282802944537894115e-05,1.918947759485199675e+07,8.381920814162265742e+03,3.320824211020325893e+05,3.961889266967773438e+01,9.995632022407732187e-01,9.826945564588417392e-01
2.302515010649137849e-05,1.886231788487424329e+07,8.453032835407671882e+03,3.346676634040864883e+05,3.959143066406250000e+01,9.995518560928194907e-01,9.822573415713422573e-01
2.322397290992540445e-05,1.854073589191893488e+07,8.524726155628941342e+03,3.372678359792059055e+05,3.956348037719726562e+01,9.995402164075189999e-01,9.818093608611185852e-01
2.342451255372670350e-05,1.822463652198081464e+07,8.597004952727274940e+03,3.398819991847908241e+05,3.953493118286132812e+01,9.995282756425698523e-01,9.813504099917241819e-01
2.362678386285899454e-05,1.791392630230392143e+07,8.669873419307097720e+03,3.425123876034330460e+05,3.950604248046875000e+01,9.995160260641358096e-01,9.808801051303096541e-01
