time,rmin_ias15,rmin_noNN,rmin_v4,pair_ias15,pair_noNN,pair_v4,err_noNN,err_v4
2.632526505301060382e+01,9.883527309618908019e-01,9.886088335012221950e-01,9.886088335012221950e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.715584969110778291e-02,1.715584969110778291e-02
2.634526905381076389e+01,9.878565729452095656e-01,9.886088335012221950e-01,9.886088335012221950e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.114881001500036606e-02,2.114881001500036606e-02
2.636527305461092396e+01,9.872118856343513604e-01,9.870758835665165432e-01,9.870758835665165432e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.713301679990584386e-02,1.713301679990584386e-02
2.638527705541108404e+01,9.864186523543043705e-01,9.870758835665165432e-01,9.870758835665165432e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.114508365785046362e-02,2.114508365785046362e-02
2.640528105621124411e+01,9.854768533203089875e-01,9.849499002671231462e-01,9.849499002671231462e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.709950380087299840e-02,1.709950380087299840e-02
2.642528505701140418e+01,9.843864659251635452e-01,9.849499002671231462e-01,9.849499002671231462e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.112603612397778718e-02,2.112603612397778718e-02
2.644528905781156425e+01,9.831474650831579787e-01,9.822306338005297732e-01,9.822306338005297732e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.705531714663549928e-02,1.705531714663549928e-02
2.646529305861172432e+01,9.817598236328971550e-01,9.822306338005297732e-01,9.822306338005297732e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.109168380434622153e-02,2.109168380434622153e-02
2.648529705941188439e+01,9.802235128016655308e-01,9.789178029883920384e-01,9.789178029883920384e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.700050562109265556e-02,1.700050562109265556e-02
2.650530106021204446e+01,9.785385027343976860e-01,9.789178029883920384e-01,9.789178029883920384e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.104203635261474303e-02,2.104203635261474303e-02
2.652530506101220453e+01,9.767047630907552680e-01,9.750111114792542333e-01,9.750111114792542333e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.693516220359150143e-02,1.693516220359150143e-02
2.654530906181236460e+01,9.747222637142702872e-01,9.750111114792542333e-01,9.750111114792542333e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.097709702747759669e-02,2.097709702747759669e-02
2.656531306261252467e+01,9.725909753780143108e-01,9.705102683677101494e-01,9.705102683677101494e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.685942678235625297e-02,1.685942678235625297e-02
2.658531706341268475e+01,9.703108706117776761e-01,9.705102683677101494e-01,9.705102683677101494e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.089686308322618799e-02,2.089686308322618799e-02
2.660532106421284482e+01,9.678819246163150591e-01,9.654150137857385738e-01,9.654150137857385738e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.677348977641318975e-02,1.677348977641318975e-02
2.662532506501300489e+01,9.653041162708253520e-01,9.654150137857385738e-01,9.654150137857385738e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.080132621883768254e-02,2.080132621883768254e-02
2.664532906581316496e+01,9.625774292405001598e-01,9.597251501606982593e-01,9.597251501606982593e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.667759674080252635e-02,1.667759674080252635e-02
