t_yr,ias15_rmin,noNN_rmin,unguarded_rmin,guarded_rmin,ias15_pair,noNN_pair,unguarded_pair,guarded_pair,noNN_err,unguarded_err,guarded_err,unguarded_minus_noNN,guarded_minus_noNN
75.55511102220444,1.0714355504126913,0.9784498825838633,0.7695696536779544,0.549867680098371,0-1,0-2,0-2,1-2,2.1213416104355245,0.6935724444420432,1.0841710424338868,-1.4277691659934812,-1.0371705680016376
75.5751150230046,1.0727107981359159,0.9792061520472579,0.7724267077190118,0.5361733275323178,0-1,0-2,0-2,1-2,2.119635606530835,0.6842011805518327,1.0876064607814573,-1.4354344259790024,-1.0320291457493778
75.59511902380477,1.0739312050760301,0.9797391583024098,0.7753279572684737,0.5227300028304093,0-1,0-2,0-2,1-2,2.117782103347948,0.6749141218212765,1.0910084625003782,-1.4428679815266716,-1.0267736408475698
75.61512302460493,1.0750965598184394,0.9800490312236724,0.7782705111222342,0.509536943947925,0-1,0-2,0-2,1-2,2.115781678450212,0.6657150257482225,1.0943769644883894,-1.4500666527019896,-1.0214047139618228
75.63512702540508,1.0762066619669108,0.980135842907017,0.7812514975076248,0.49659305189348885,0-1,0-2,0-2,1-2,2.1136348720831917,0.6566075855688019,1.0977119521995478,-1.4570272865143896,-1.015922919883644
75.65513102620524,1.0772613219279397,0.9799996077147052,0.7842680681194728,0.483896885207333,0-1,0-2,0-2,1-2,2.1113421877126024,0.6475954311622595,1.1010134786540775,-1.4637467565503428,-1.010328709058525
75.67513502700541,1.0782603607065946,0.9796402822775374,0.7873174018506005,0.47144665424748006,0-1,0-2,0-2,1-2,2.108904092469657,0.6386821301503572,1.1042816635483341,-1.4702219623192998,-1.004622428921323
75.69513902780557,1.0792036097136657,0.9790577654545273,0.7903967082215616,0.4592402152755859,0-1,0-2,0-2,1-2,2.106321017503314,0.6298711891542452,1.107516692475115,-1.4764498283490686,-0.9988043250281988
75.71514302860572,1.0800909105839793,0.978251898250094,0.7935032305159672,0.44727506433642644,0-1,0-2,0-2,1-2,2.103593358238333,0.6211660551708784,1.1107188162649584,-1.4824273030674544,-0.9928745419733744
75.73514702940588,1.0809221150057189,0.9772224636891099,0.796634248629117,0.4355483309265031,0-1,0-2,0-2,1-2,2.1007214745376324,0.6125701170301732,1.1138883504597867,-1.4881513575074592,-0.9868331240778456
75.75515103020605,1.081697084560625,0.9759691866504006,0.7997870816388019,0.42405677144771275,0-1,0-2,0-2,1-2,2.0977056907667664,0.6040867068936115,1.1170256749311611,-1.4936189838731548,-0.9806800158356053
75.77515503100621,1.0824156905749385,0.9744917336595617,0.8029590901081163,0.412796762441129,0-1,0-2,0-2,1-2,2.094546295757846,0.595719101754408,1.1201312336567244,-1.4988271940034381,-0.9744150621011216
75.79515903180636,1.0830778139809663,0.972789712642262,0.8061476781308917,0.4017642935933059,0-1,0-2,0-2,1-2,2.0912435426695115,0.5874705248991,1.1232055346700842,-1.5037730177704116,-0.9680380079994273
75.81516303260652,1.0836833451891514,0.9708626726395326,0.809350295130994,0.39095496050265693,0-1,0-2,0-2,1-2,2.0877976487390226,0.5793441472900812,1.126249150201571,-1.5084535014489413,-0.9615484985374516
75.83516703340669,1.084232183970544,0.9687101034869111,0.8125644374271745,0.38036395718589117,0-1,0-2,0-2,1-2,2.0842087949216968,0.571343088828629,1.1292627170300222,-1.5128657060930677,-0.9549460778916745
75.85517103420685,1.0847242393495646,0.9663314354597434,0.8157876495754985,0.3699860682935383,0-1,0-2,0-2,1-2,2.080477125412238,0.5634704194579625,1.1322469370691948,-1.5170067059542756,-0.9482301883430433
75.875175035007,1.0851594295069817,0.9637260388874282,0.8190175255015562,0.3598156609886002,0-1,0-2,0-2,1-2,2.076602747041583,0.5557291600662176,1.1352025782166468,-1.5208735869753656,-0.9414001688249363
75.89517903580716,1.08553768169301,0.960893223739955,0.8222517094347431,0.349846676422415,0-1,0-2,0-2,1-2,2.0725857285420863,0.5481222831495496,1.1381304754982375,-1.5244634453925368,-0.9344552530438488
75.91518303660733,1.0858589321504584,0.9578322391907459,0.8254878966568747,0.34007262071595323,0-1,0-2,0-2,1-2,2.068426099672756,0.5406527131964076,1.1410315325478682,-1.5277733864763483,-0.9273945671248878
75.93518703740749,1.0861231260478637,0.9545422731605708,0.8287238340772756,0.3304865553217241,0-1,0-2,0-2,1-2,2.064123850195245,0.5333233267548929,1.143906723470148,-1.530800523440352,-0.9202171267250967
75.95519103820764,1.0863302174225493,0.951022451848197,0.831957320646303,0.3210810865998067,0-1,0-2,0-2,1-2,2.0596789286899972,0.5261369521465247,1.146757095143524,-1.5335419765434726,-0.9129218335464733
75.9751950390078,1.0864801691335653,0.9472718392544788,0.8351862076189986,0.3118483543893703,0-1,0-2,0-2,1-2,2.0550912412007603,0.519096368791289,1.1495837700336884,-1.5359948724094714,-0.9055074711670719
75.99519903980797,1.0865729528244654,0.9432894367078115,0.8384083986802492,0.3027800192921334,0-1,0-2,0-2,1-2,2.050360649694045,0.5122043061110926,1.152387949602188,-1.5381563435829526,-0.8979727000918571
76.01520304060813,1.0866085488958928,0.9390741824003082,0.841621849942481,0.2938672483035731,0-1,0-2,0-2,1-2,2.045486970318605,0.5054634419812543,1.1551709184140146,-1.5400235283373507,-0.8903160519045903
76.03520704140828,1.0865869464879543,0.9346249509457348,0.8448245698265088,0.2851006983275077,0-1,0-2,0-2,1-2,2.0404699714480654,0.4988764007029397,1.157934049071486,-1.5415935707451256,-0.8825359223765794
76.05521104220844,1.0865081434723671,0.9299405529722187,0.8480146188357408,0.27647049698491416,0-1,0-2,0-2,1-2,2.035309371487949,0.4924457504730765,1.160678808131351,-1.5428636210148725,-0.8746305633565981
76.07521504300861,1.0863721464543776,0.9250197347650675,0.8511901092334883,0.2679662199717595,0-1,0-2,0-2,1-2,2.030004836425933,0.4861740003328734,1.1634067631994909,-1.5438308360930595,-0.866598073226442
76.09521904380877,1.0861789707844551,0.9198611779777692,0.854349204632668,0.25957686402407953,0-1,0-2,0-2,1-2,2.0245559771017536,0.48006359658110753,1.1661195914453937,-1.544492380520646,-0.8584363856563599
76.11522304460892,1.0859286405797748,0.9144634994324726,0.8574901195067183,0.2512908142990449,0-1,0-2,0-2,1-2,2.0189623461702286,0.4741169186443563,1.1688190898400184,-1.5448454275258723,-0.8501432563302103
76.13522704540908,1.0856211887555156,0.9088252510350467,0.8606111186300629,0.24309580466086528,0-1,0-2,0-2,1-2,2.013223434727796,0.46833627440287645,1.171507187500517,-1.5448871603249195,-0.841716247227279
76.15523104620925,1.0852566570660043,0.9029449198343176,0.8637105164559953,0.23497886894568876,0-1,0-2,0-2,1-2,2.007338668569291,0.4627238949784198,1.174185960629902,-1.544614773590871,-0.8331527079393888
76.17523504700941,1.084835096155746,0.8968209282603884,0.8667866764393733,0.2269262807353284,0-1,0-2,0-2,1-2,2.0013074040377083,0.4572819289983538,1.176857650678607,-1.5440254750393545,-0.8244497533591013
76.19523904780957,1.084356565620391,0.8904516345832498,0.8698380103110603,0.21892347844548948,0-1,0-2,0-2,1-2,1.9951289234250995,0.45201243635947114,1.1795246865411158,-1.5431164870656284,-0.8156042368839838
76.21524304860972,1.0838211340777006,0.8838353336403442,0.8728629773105878,0.21095497155676432,0-1,0-2,0-2,1-2,1.9888024298777316,0.44691738152424243,1.182189711854134,-1.5418850483534892,-0.8066127180235976
